id,name,label,superclass,classification,subclass,family,distribution,designer,rg,xHeight,capHeight,xHeightRatio,capHeightRatio,xHeightRatioRounded,capHeightRatioRounded,adjust,xHeightPct,capHeightPct,0.70,18,24,link,Year,stylesheet,100 Greatest Fonts,Typewolf Google,Typewolf Adobe,Google Analytics,Google Analytics Score,100 Greatest Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,FontsInUse,Wikipedia,Deweight,Score,Quality,Utility,Underrated Boost,In Use Boost,Weight Boost,Rating,inuse
16,Bodoni URW,Bodoni URW,Serif,Modern,Bodoni,,Adobe,URW Type Foundry;Giambattista Bodoni,300;300i;400;400i;500;500i;700;700i;800;800i,18.86,32.02,1.7,1.5,1.7,1.5,0.955820895522388,0.58,0.66,1.06,19,25,https://fonts.adobe.com/fonts/bodoni-urw,1790,ijh0jpa,3,,,,,98,,,,15,15,15,113,10,4,,10,5,153,The American Scholar;Museo Egizio
17,Brandon Grotesque,Brandon Grotesque,Sans,Geometric,Kabel,,Adobe,Hannes von Döhren;HVD Fonts,100;100i;300;300i;400;400i;500;500i;700;700i;900;900i,19.2,33.6,1.75,1.43,1.75,1.45,1.00298507462687,0.58,0.70,1.00,18,24,https://fonts.adobe.com/fonts/brandon-grotesque,2010,jdh5ewi,,,,,,,,,15,15,15,,45,10,6,,15,6,105,Moleskine;Ferm Living;Pixar
18,Bricolage Grotesque,Bricolage Grotesque,Sans,Grotesque,Blake,,Google,Mathieu Triay,200;300;400;500;600;700;800,24.83,31.68,1.28,1.52,1.3,1.5,0.945671641791045,0.78,0.66,1.06,19,25,https://fonts.google.com/specimen/Bricolage+Grotesque,2023,,,41,,"468,891,713",3,,60,15,,,,,75.75,10,8,15,,3,170.75,
19,Cabin,Cabin,Sans,Humanist,Johnston,,Google,Impallari Type;Rodrigo Fuenzalida,400..700;400..700i,23.52,33.6,1.43,1.43,1.45,1.45,1.00298507462687,0.70,0.70,1.00,18,24,https://fonts.google.com/specimen/Cabin,2010,,,,,"15,762,474,408",45,,,,,5,,,16.25,1,6,,,4,22.25,
20,Calluna,Calluna,Serif,Old Style,Garamond,Calluna,Adobe,Jos Buivenga;exljbris Font Foundry,300;400;400i;600;600i;700;700i;900,21.79,32.21,1.48,1.49,1.5,1.5,0.961492537313433,0.68,0.68,1.03,19,25,https://fonts.adobe.com/fonts/calluna,2009,pyq2dra,,,34,,,,,68,,5,,,73,10,10,10,5,4,183,Mother Jones
21,Calluna Sans,Calluna Sans,Sans,Humanist,Johnston,Calluna,Adobe,Jos Buivenga;exljbris Font Foundry,300;300i;400;400i;600;600i;700;700i;900;900i,21.6,32.02,1.48,1.5,1.5,1.5,0.955820895522388,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/calluna-sans,2009,wgi2koo,,,41,,,,,15,,5,,,20,10,10,25,,5,145,
22,Cardo,Cardo,Serif,Old Style,Garamond,,Google,David Perry,400;400i;700,21.09,33.05,1.57,1.45,1.55,1.45,0.986567164179104,0.64,0.68,1.03,19,25,https://fonts.google.com/specimen/Cardo,2002,,,33,,"2,876,719,742",22,,68,,15,,,,88.5,8,8,10,,1,162.5,
23,Chivo,Chivo,Sans,Grotesque,Blake,,Google,Omnibus-Type,100..900;100..900i,24.38,33.82,1.39,1.42,1.4,1.4,1.00955223880597,0.72,0.70,1.00,18,24,https://fonts.google.com/specimen/Chivo,2014,,,34,,"3,682,624,208",25,,67,,,15,,,88.25,,,,,,88.25,
24,Cormorant Garamond,Cormorant Garamond,Serif,Old Style,Garamond,,Google,Christian Thalmann,300;300i;400;400i;500;500i;600;600i;700;700i,18.53,30,1.62,1.6,1.6,1.6,0.895522388059701,0.62,0.62,1.13,20,27,https://fonts.google.com/specimen/Cormorant+Garamond,2015,,,8,,"8,071,744,058",33,,93,,,5,,,106.25,7,6,,,5,148.25,
25,Crimson Text,Crimson Text,Serif,Old Style,Garamond,,Google,Sebastian Kosch,400;400i;600;600i;700;700i,20.34,31.03,1.53,1.55,1.55,1.55,0.926268656716418,0.66,0.64,1.09,20,26,https://fonts.google.com/specimen/Crimson+Text,2010,,,,,"11,442,666,236",38,,,,15,5,,,29.5,8,8,,5,3,93.5,Architectural Digest
26,Degular,Degular,Sans,Grotesque,Blake,,Adobe,James Edmondson;OH no Type Co.,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i,22.32,28.8,1.29,1.67,1.3,1.65,0.859701492537313,0.78,0.60,1.17,21,28,https://fonts.adobe.com/fonts/degular,2020,kjp5wrj,,,35,,,,,67,15,5,,,87,9,6,,5,7,141,Toms
27,DIN 2014,DIN 2014,Sans,Geometric,DIN,,Adobe,Vasily Biryukov;Paratype,200;200i;300;300i;400;400i;600;600i;700;700i;800;800i,24,33.12,1.38,1.45,1.4,1.45,0.98865671641791,0.72,0.70,1.00,18,24,https://fonts.adobe.com/fonts/din-2014,1926,qsg1nnu,20,,,,,81,,,15,15,15,,126,10,8,,15,6,206,Adidas;NYC Ballet;Nohrd
28,DM Mono,DM Mono,Mono,GeometricMono,Mono,DM,Google,Colophon Foundry,300;300i;400;400i;500;500i,23.81,33.6,1.41,1.43,1.4,1.45,1.00298507462687,0.70,0.70,1.00,18,24,https://fonts.google.com/specimen/DM+Mono,2020,,,,,"1,597,326,526",13,,,,,5,,,8.25,9,6,,5,3,62.25,Glamour
29,DM Sans,DM Sans,Sans,Geometric,Neuzeit,DM,Google,Jonny Pinhorn;Colophon Foundry;Indian Type Foundry,100..1000;100..1000i,24.19,33.6,1.39,1.43,1.4,1.45,1.00298507462687,0.72,0.70,1.00,18,24,https://fonts.google.com/specimen/DM+Sans,2019,,,1,,"40,694,164,090",57,,100,,15,5,,,134.25,9,10,,15,10,224.25,Griffin Museum;MADE;Rosendahl
30,EB Garamond,EB Garamond,Serif,Old Style,Garamond,,Google,Georg Duffner;Octavio Pardo;Claude Garamond,400..800;400..800i,19.44,31.49,1.62,1.52,1.6,1.5,0.94,0.62,0.66,1.06,19,25,https://fonts.google.com/specimen/EB+Garamond,1530,,,,,"14,721,441,891",41,,,,15,,,,25.25,8,8,,5,10,89.25,Tattler
31,Europa,Europa,Sans,Geometric,Futura,,Adobe,Fabian Leuenberger,300;300i;400;400i;700;700i,22.18,33.6,1.51,1.43,1.5,1.45,1.00298507462687,0.66,0.70,1.00,18,24,https://fonts.adobe.com/fonts/europa,2011,tap5faa,,,,,,,,,,5,,,5,10,8,10,10,3,95,Belvedere Museum;Design Milk
32,Eurostile,Eurostile,Sans,Geometric,Eurostile,,Adobe,Aldo Novarese;URW Type Foundry,400;400i;500;500i;700;700i;800;800i;900;900i,22.42,32.02,1.43,1.5,1.45,1.5,0.955820895522388,0.70,0.66,1.06,19,25,https://fonts.adobe.com/fonts/eurostile,1962,uic0rgw,33,,,,,68,,,,15,15,15,83,10,6,10,,5,153,
33,FF Meta Serif Web Pro,Meta Serif Pro,Serif,Contemporary,MetaSerif,Meta,Adobe,Botio Nikoltchev;Christian Schwartz;Erik Spiekermann;Kris Sowersby;Ralph du Carrois;FontFont,300;300i;500;500i;600;600i;700;700i;800;800i;900;900i,23.57,33.07,1.4,1.45,1.4,1.45,0.987164179104478,0.72,0.68,1.03,19,25,https://fonts.adobe.com/fonts/ff-meta-serif,1991,xee7vna,18,,41,,,83,,,,5,15,,103,10,8,,,6,183,
34,FF Meta Web Pro,Meta Pro,Sans,Humanist,Meta,Meta,Adobe,Erik Spiekermann;FontFont,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,23.9,32.93,1.38,1.46,1.4,1.45,0.982985074626866,0.72,0.68,1.03,19,25,https://fonts.adobe.com/fonts/ff-meta,1991,wlp2bua,18,,41,,,83,,,15,5,15,,118,10,8,,5,8,198,Human Rights Watch
35,FF Scala,Scala Pro,Serif,Old Style,Garamond,Scala,Adobe,Martin Majoor;,400;400i;700;700i,21.74,31.68,1.46,1.52,1.45,1.5,0.945671641791045,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/scala,1991,sor6ygr,34,,41,,,67,,,15,5,15,,102,10,6,,,2,162,
36,FF Scala Sans Pro,Scala Sans Pro,Sans,Humanist,Johnston,Scala,Adobe,Martin Majoor;,300;300i;400;400i;700;700i;900;900i,21.74,31.68,1.46,1.52,1.45,1.5,0.945671641791045,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/scala-sans,1991,zio3lkz,34,,41,,,67,,,15,5,15,,102,10,6,,5,4,162,NYU Press
37,FF Tisa Sans Web Pro,Tisa Sans,Sans,Humanist,Johnston,Tisa,Adobe,Mitja Miklavčič,100;100i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,23.33,33.46,1.43,1.43,1.45,1.45,0.998805970149254,0.70,0.70,1.00,18,24,https://fonts.adobe.com/fonts/ff-tisa-sans,2011,csa8hvn,,,41,,,,15,,15,5,,,35,9,9,,,8,116,
38,FF Tisa Web Pro,Tisa,Serif,Slab,Slab,Tisa,Adobe,Mitja Miklavčič,100;100i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,22.8,33.31,1.46,1.44,1.45,1.45,0.994328358208955,0.68,0.70,1.00,18,24,https://fonts.adobe.com/fonts/ff-tisa,2008,grc1rar,,,41,,,,,,5,5,,,10,,,,,8,10,
39,Figtree,Figtree,Sans,Geometric,Proxima,,Google,Erik Kennedy,300..900;300..900i,24,33.6,1.4,1.43,1.4,1.45,1.00298507462687,0.72,0.70,1.00,18,24,https://fonts.google.com/specimen/Figtree,2022,,,,,"10,539,765,062",37,,,,,5,,,14.25,9,10,10,5,10,114.25,Parents
40,Fira Mono,Fira Mono,Mono,HumanistMono,Mono,Fira,Google,Carrois Apostrophe,400;500;700,25.3,33.07,1.31,1.45,1.3,1.45,0.987164179104478,0.76,0.68,1.03,19,25,https://fonts.google.com/specimen/Fira+Mono,2013,,,,,"1,013,909,468",9,,,,15,5,15,,37.25,6,2,,,1,49.25,
