id,name,label,superclass,classification,subclass,family,distribution,designer,rg,xHeight,capHeight,xHeightRatio,capHeightRatio,xHeightRatioRounded,capHeightRatioRounded,adjust,xHeightPct,capHeightPct,0.70,18,24,link,Year,stylesheet,100 Greatest Fonts,Typewolf Google,Typewolf Adobe,Google Analytics,Google Analytics Score,100 Greatest Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,FontsInUse,Wikipedia,Deweight,Score,Quality,Utility,Underrated Boost,In Use Boost,Weight Boost,Rating,inuse
67,Kepler Std,Kepler,Serif,Transitional,Times,,Adobe,Robert Slimbach,300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,20.64,30.43,1.47,1.58,1.45,1.6,0.908358208955224,0.68,0.64,1.09,20,26,https://fonts.adobe.com/fonts/kepler,1996,fxa0ozr,,,40,,,,,62,,5,,,67,9,10,,,,157,
68,Lato,Lato,Sans,Humanist,Johnston,,Google,Łukasz Dziedzic,100;100i;300;300i;400;400i;700;700i;900;900i,24.31,34.39,1.41,1.4,1.4,1.4,1.0265671641791,0.70,0.72,0.97,18,23,https://fonts.google.com/specimen/Lato,2011,,,30,,"415,612,322,736",70,,71,,-15,5,15,,93.5,1,8,,15,4,101.5,
69,League Spartan,League Spartan,Sans,Geometric,Neuzeit,,Google,Matt Bailey;Tyler Finck,100;200;300;400;500;600;700;800;900,19.7,31.68,1.61,1.52,1.6,1.5,0.945671641791045,0.62,0.66,1.06,19,25,https://fonts.google.com/specimen/League+Spartan/,2021,,,,,"2,357,262,976",16,,15,,,5,,,24,5,6,10,,4,64,
70,Lexend,Lexend,Sans,Geometric,Proxima,,Google,Bonnie Shaver-Troup;Thomas Jockin;Santiago Orozco;Héctor Gómez;Superunion,100..900,25.2,33.6,1.33,1.43,1.35,1.45,1.00298507462687,0.76,0.70,1.00,18,24,https://fonts.google.com/specimen/Lexend,2021,,,,,"7,725,664,232",31,,,,,5,,,12.75,7,8,,10,10,68.75,HubSpot;Granta
71,Libre Baskerville,Libre Baskerville,Serif,Transitional,Baskerville,,Google,Impallari Type;John Baskerville,400;400i;700,25.44,36.96,1.45,1.3,1.45,1.3,1.10328358208955,0.68,0.78,0.90,16,22,https://fonts.google.com/specimen/Libre+Baskerville,1754,,,21,,"17,624,583,286",48,,80,,-15,5,,,82,5,4,,5,1,102,Heifer International
72,Libre Caslon Text,Libre Caslon Text,Serif,Old Style,Caslon,,Google,Impallari Type;William Caslon I,400;400i;700,25.44,36.96,1.45,1.3,1.45,1.3,1.10328358208955,0.68,0.78,0.90,16,22,https://fonts.google.com/specimen/Libre+Caslon+Text,1725,,,,,"2,384,689,590",17,,,,15,5,,,24.25,5,6,,5,1,54.25,Glamour
73,Libre Franklin,Libre Franklin,Sans,Grotesque,Franklin,,Google,Impallari Type;Morris Fuller Benton,100..900;100..900i,25.44,35.62,1.4,1.35,1.4,1.35,1.06328358208955,0.72,0.74,0.95,17,23,https://fonts.google.com/specimen/Libre+Franklin,1902,,,7,,"23,302,663,078",50,,94,,,5,,,111.5,4,6,,15,10,135.5,Intelligencer;Environmental Defence Fund;University of Minnesota Press
74,Linotype Sabon,Sabon,Serif,Old Style,Garamond,,Adobe,Jan Tschichold,400;400i;700;700i,21.54,31.76,1.47,1.51,1.45,1.5,0.948059701492537,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/sabon,1967,glj1wwv,,,36,,,,,66,,5,,,71,10,8,,,,151,
75,Literata,Literata,Serif,Contemporary,Times,,Google,TypeTogether,200..900;200..900i,24.5,34.4,1.4,1.4,1.4,1.4,1.02686567164179,0.72,0.72,0.97,18,23,https://fonts.google.com/specimen/Literata,2015,,,41,,"1,717,244,891",14,,60,,,5,,,68.5,8,8,,,,132.5,
76,Logic Monospace,Logic Monospace,Mono,GrotesqueMono,Mono,,Adobe,Jeremy Mickel;MCKL,300;300i;400;400i;500;500i;700;700i;800;800i,20.45,27.79,1.36,1.73,1.35,1.75,0.82955223880597,0.74,0.58,1.21,22,29,https://fonts.adobe.com/fonts/logic-monospace,2020,seq8bzu,,,,,,,,,,,,,0,9,4,10,5,5,46,The Atlantic
77,Lora,Lora,Serif,Transitional,Times,,Google,Cyreal,400..700;400..700i,24,33.6,1.4,1.43,1.4,1.45,1.00298507462687,0.72,0.70,1.00,18,24,https://fonts.google.com/specimen/Lora,2011,,,24,,"45,211,941,869",59,,77,,,5,,,96.75,8,8,,10,10,160.75,Teach For America;Domino Records
78,Manrope,Manrope,Sans,Geometric,Neuzeit,,Google,Mikhail Sharanda,200..800;200..800i,25.92,34.56,1.33,1.39,1.35,1.4,1.03164179104478,0.76,0.72,0.97,18,23,https://fonts.google.com/specimen/Manrope,2018,,,28,,"33,373,782,457",55,,73,,,5,,,91.75,2,4,,,6,99.75,
79,Mencken Std,Mencken,Serif,Modern,Century,,Adobe,Jean François Porchez,400;400i;700;700i;800;800i,24.48,32.4,1.32,1.48,1.3,1.5,0.967164179104478,0.76,0.68,1.03,19,25,https://fonts.adobe.com/fonts/mencken,2005,qif4svm,,,19,,,,,83,,5,,,88,9,8,,,,160,
80,Merriweather,Merriweather,Serif,Contemporary,MetaSerif,Merriweather,Google,Sorkin Type,300;300i;400;400i;700;700i;900;900i,26.64,35.66,1.34,1.35,1.35,1.35,1.0644776119403,0.74,0.74,0.95,17,23,https://fonts.google.com/specimen/Merriweather,2010,,,40,,"67,723,812,459",63,,61,,15,5,,,96.75,4,6,,15,4,120.75,Quanta;USA Gov;CARE;Max Planck Institute
81,Merriweather Sans,Merriweather Sans,Sans,Humanist,Frutiger,Merriweather,Google,Sorkin Type,300..800;300..800i,26.74,35.71,1.34,1.34,1.35,1.35,1.06597014925373,0.74,0.74,0.95,17,23,https://fonts.google.com/specimen/Merriweather+Sans,2013,,,,,"6,195,284,837",29,,,,,5,,,12.25,4,4,,,10,28.25,
82,Minion Pro,Minion,Serif,Old Style,Garamond,,Adobe,Robert Slimbach,400;400i;500;500i;600;600i;700;700i,20.98,31.2,1.49,1.54,1.5,1.55,0.93134328358209,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/minion,1990,jda0jat,30,,9,,,71,,93,15,15,15,,209,10,10,,10,4,309,Smithsonian;Gagosian
83,Montserrat,Montserrat,Sans,Geometric,Proxima,,Google,Julieta Ulanovsky;Sol Matas;Juan Pablo del Peral;Jacques Le Bailly,100..900;100..900i,25.22,33.6,1.33,1.43,1.35,1.45,1.00298507462687,0.76,0.70,1.00,18,24,https://fonts.google.com/specimen/Montserrat,2010,,,29,,"499,965,228,272",72,,72,,15,15,,,120,8,8,,15,10,184,Hootsuite;Musee d’Orsay;Brooklyn Bicycle Co
84,Museo,Museo,Serif,Slab,Slab,Museo,Adobe,Jos Buivenga;exljbris Font Foundry,100;100i;300;300i;500;500i;700;700i;900;900i,24.29,33.89,1.4,1.42,1.4,1.4,1.01164179104478,0.72,0.70,1.00,18,24,https://fonts.adobe.com/fonts/museo,2009,wbe8aen,,,,,,,,,5,5,,,10,10,7,15,,5,95,
85,Museo Sans,Museo Sans,Sans,Humanist,Frutiger,Museo,Adobe,Jos Buivenga;exljbris Font Foundry,100;100i;300;300i;500;500i;700;700i;900;900i,24.29,33.89,1.4,1.42,1.4,1.4,1.01164179104478,0.72,0.70,1.00,18,24,https://fonts.adobe.com/fonts/museo-sans,2009,nwx3mlp,,,,,,,,,5,5,,,10,10,9,15,,5,115,
86,Museo Slab,Museo Slab,Serif,Slab,Slab,Museo,Adobe,Jos Buivenga;exljbris Font Foundry,100;100i;300;300i;500;500i;700;700i;900;900i,24.29,33.89,1.4,1.42,1.4,1.4,1.01164179104478,0.72,0.70,1.00,18,24,https://fonts.adobe.com/fonts/museo-slab,2009,fji4isd,,,,,,,,,15,5,,,20,10,8,15,,5,115,
87,Myriad Pro,Myriad Pro,Sans,Humanist,Frutiger,,Adobe,Carol Twombly;Robert Slimbach,300;300i;400;400i;600;600i;700;700i;900;900i,23.23,32.35,1.39,1.48,1.4,1.5,0.965671641791045,0.72,0.68,1.03,19,25,https://fonts.adobe.com/fonts/myriad,1992,uyz3fxv,31,,,,,70,,,15,5,15,,105,10,10,,5,5,205,Instructables
88,Neue Haas Grotesk,Neue Haas Grotesk,Sans,Grotesque,NeoGrotesque,,Adobe,Max Miedinger;Eduard Hoffmann;Christian Schwartz,Text-400;400i;500;500i;700;700i,25.78,35.71,1.39,1.34,1.4,1.35,1.06597014925373,0.72,0.74,0.95,17,23,https://fonts.adobe.com/fonts/neue-haas-grotesk,1957,lry7sff,,,8,,,,,94,,15,,,109,10,8,,15,3,189,Whitney;ArtCenter;Billboard
89,Neue Haas Unica,Neue Haas Unica,Sans,Grotesque,NeoGrotesque,,Adobe,"André Gürtler, Christian Mengelt;Erich Gschwind;Toshi Omagari",100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,24.38,34.18,1.4,1.4,1.4,1.4,1.02029850746269,0.72,0.72,0.97,18,23,https://fonts.adobe.com/fonts/neue-haas-unica,1980,fyj5txg,,,10,,,,,92,,15,,,107,10,8,10,15,9,197,ArtReview;Design Observer;Bella Union
90,Neue Kabel,Neue Kabel,Sans,Geometric,Kabel,,Adobe,Rudolf Koch;Marc Schütz;,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,21.12,33.6,1.59,1.43,1.6,1.45,1.00298507462687,0.62,0.70,1.00,18,24,https://fonts.adobe.com/fonts/neue-kabel,1927,blh2per,78,,27,,,23,,75,,15,15,,128,10,8,10,,9,218,
91,Neuzeit Grotesk,Neuzeit Grotesk,Sans,Geometric,Neuzeit,,Adobe,URW Type Foundry;Wilhelm Pischner,300;400;700;900,22.13,32.02,1.45,1.5,1.45,1.5,0.955820895522388,0.70,0.66,1.06,19,25,https://fonts.adobe.com/fonts/neuzeit-grotesk,1928,aah6neu,,,,,,,,,,5,15,,20,9,6,,10,2,74,Chamber Music Society;Public Book
92,Newsreader,Newsreader,Serif,Transitional,Times,,Google,Production Type,200..800;200..800i,21.82,32.76,1.5,1.47,1.5,1.45,0.977910447761194,0.66,0.68,1.03,19,25,https://fonts.google.com/specimen/Newsreader,2021,,,41,,"800,270,778",5,,60,,,5,,,66.25,7,8,,,,122.25,
93,Noticia Text,Noticia Text,Serif,Contemporary,MetaSerif,,Google,JM Solé,400;400i;700;700i,25.43,31.71,1.25,1.51,1.25,1.5,0.946567164179104,0.80,0.66,1.06,19,25,https://fonts.google.com/specimen/Noticia+Text,2011,,,,,"2,810,541,844",21,,,,15,5,,,25.25,6,6,,,,61.25,
94,Nunito Sans,Nunito Sans,Sans,Geometric,Proxima,,Google,Vernon Adams;Jacques Le Bailly;Manvel Shmavonyan;Alexei Vanyashin,200..1000;200..1000i,23.34,33.84,1.45,1.42,1.45,1.4,1.01014925373134,0.68,0.70,1.00,18,24,https://fonts.google.com/specimen/Nunito+Sans,2011,,,41,,"82,463,878,515",66,,60,15,,5,,,96.5,6,6,,10,10,132.5,Mozilla;Museo Thyssen
95,Obviously,Obviously,Sans,Grotesque,Blake,,Adobe,James Edmondson;OH no Type Co.,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,28.85,36,1.25,1.33,1.25,1.35,1.07462686567164,0.80,0.76,0.92,17,22,https://fonts.adobe.com/fonts/obviously-variable,2018,kfm1ruq,,,,,,,,,,15,,,15,8,4,,,1,47,
96,Old Standard TT,Old Standard TT,Serif,Modern,Century,,Google,Alexey Kryukov,400;400i;700,21.89,34.18,1.56,1.4,1.55,1.4,1.02029850746269,0.64,0.72,0.97,18,23,https://fonts.google.com/specimen/Old+Standard+TT,2009,,,41,,"2,555,360,496",20,,60,,,5,,,70,8,6,10,,1,128,
97,Open Sans,Open Sans,Sans,Humanist,Frutiger,,Google,Steve Matteson,300..800;300..800i,25.69,34.27,1.33,1.4,1.35,1.4,1.02298507462687,0.74,0.72,0.97,18,23,https://fonts.google.com/specimen/Open+Sans,2010,,,37,,"1,429,242,327,289",73,,64,,-15,15,15,,97.25,4,8,,15,10,129.25,
98,OrpheusPro,Orpheus Pro,Serif,Contemporary,Glyphic,,Adobe,Walter Tiemann;Kevin Allan King;Patrick Griffin,400;400i;700;700i,22.85,34.9,1.53,1.38,1.55,1.4,1.04179104477612,0.66,0.72,0.97,18,23,https://fonts.adobe.com/fonts/orpheus,1928,sug0jcn,,,4,,,,,98,,5,,,103,9,6,,,,157,
99,Outfit,Outfit,Sans,Geometric,Neuzeit,,Google,Smartsheet Inc;Rodrigo Fuenzalida,100..900,22.8,33.31,1.46,1.44,1.45,1.45,0.994328358208955,0.68,0.70,1.00,18,24,https://fonts.google.com/specimen/Outfit,2021,,,41,,"15,096,414,714",43,,60,15,,5,,,90.75,9,8,10,5,10,172.75,Mashable
100,Overpass,Overpass,Sans,Geometric,DIN,Overpass,Google,Delve Withrington;Dave Bailey;Thomas Jockin,100..900;100..900i,24.53,33.6,1.37,1.43,1.35,1.45,1.00298507462687,0.74,0.70,1.00,18,24,https://fonts.google.com/specimen/Overpass,2014,,,41,,"9,583,416,274",35,,60,15,,5,15,,103.75,8,8,,5,10,167.75,International Labor Organization
101,Plantin,Plantin,Serif,Old Style,Garamond,,Adobe,Robert Granjon;Frank Hinman Pierpont;Fritz Stelzer,300;300i;400;400i;600;600i;700;700i,21.6,32.74,1.52,1.47,1.5,1.45,0.977313432835821,0.66,0.68,1.03,19,25,https://fonts.adobe.com/fonts/plantin,1913,qjl8rgl,,,2,,,,,100,,15,15,15,115,10,10,,,,215,
102,Playfair,Playfair,Serif,Modern,Bodoni,,Google,Claus Eggers Sørensen,300..900;300..900i,19.95,27.41,1.37,1.75,1.35,1.75,0.818208955223881,0.72,0.58,1.21,22,29,https://fonts.google.com/specimen/Playfair,2011,,,22,,"75,081,991,940",64,,79,,15,5,,15,100,6,6,,,9,136,
103,Plus Jakarta Sans,Plus Jakarta Sans,Sans,Geometric,Neuzeit,,Google,Tokotype,200..800;200..800i,25.73,35.76,1.39,1.34,1.4,1.35,1.06746268656716,0.72,0.74,0.95,17,23,https://fonts.google.com/specimen/Plus+Jakarta+Sans,2020,,,41,,"14,684,802,053",40,,60,15,15,5,,,105,9,8,,,10,177,
104,Poppins,Poppins,Sans,Geometric,Neuzeit,,Google,Indian Type Foundry;Jonny Pinhorn;Ninad Kale,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,26.3,33.46,1.27,1.43,1.25,1.45,0.998805970149254,0.78,0.70,1.00,18,24,https://fonts.google.com/specimen/Poppins,2014,,,19,,"434,516,045,337",71,,82,,,5,,,104.75,6,6,,15,9,140.75,
105,Protipo,Protipo,Sans,Geometric,DIN,,Adobe,José Scaglione;Veronika Burian,300;300i;400;400i;500;500i;600;600i;700;700i;800;800i,25.82,33.74,1.31,1.42,1.3,1.4,1.00716417910448,0.76,0.70,1.00,18,24,https://fonts.adobe.com/fonts/protipo,2018,ump0tbz,,,,,,,,,15,5,,,20,8,6,,,6,68,
106,Proxima Nova,Proxima Nova,Sans,Geometric,Proxima,Proxima,Adobe,Mark Simonson,100;100i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,23.18,32.02,1.38,1.5,1.4,1.5,0.955820895522388,0.72,0.66,1.06,19,25,https://fonts.adobe.com/fonts/proxima-nova,2005,qfs0oru,,,12,,,,,90,15,15,15,,135,10,10,10,15,8,245,DuckDuckGo;Buzzfeed;FitBit;
107,Proza Libre,Proza Libre,Sans,Humanist,Optima,,Google,Jasper de Waard,400;400i;500;500i;600;600i;700;700i;800;800i,24.84,34.34,1.38,1.4,1.4,1.4,1.02507462686567,0.72,0.72,0.97,18,23,https://fonts.google.com/specimen/Proza+Libre,2016,,,25,,"355,230,785",1,,76,,,5,,,81.25,8,7,10,,5,147.25,
108,PT Mono,PT Mono,Mono,HumanistMono,Mono,PT,Google,ParaType,400;,24,33.6,1.4,1.43,1.4,1.45,1.00298507462687,0.72,0.70,1.00,18,24,https://fonts.google.com/specimen/PT+Mono,2010,,,,,"1,435,428,694",10,,,,,5,,,7.5,8,4,,,1,39.5,
109,PT Sans,PT Sans,Sans,Humanist,Meta,PT,Google,ParaType,400;400i;700;700i,24,33.6,1.4,1.43,1.4,1.45,1.00298507462687,0.72,0.70,1.00,18,24,https://fonts.google.com/specimen/PT+Sans,2010,,,31,,"56,176,463,253",61,,70,,,5,15,,105.25,8,10,,10,2,185.25,Oxford University;Uffizi
110,PT Serif,PT Serif,Serif,Contemporary,MetaSerif,PT,Google,ParaType,400;400i;700;700i,24,33.6,1.4,1.43,1.4,1.45,1.00298507462687,0.72,0.70,1.00,18,24,https://fonts.google.com/specimen/PT+Serif,2010,,,32,,"28,770,423,531",52,,69,,15,5,,,102,8,8,,5,2,166,Ada
111,Public Sans,Public Sans,Sans,Grotesque,Franklin,,Google,USWDS;Dan Williams;Pablo Impallari;Rodrigo Fuenzalida,100..900;100..900i,24.82,34.7,1.4,1.38,1.4,1.4,1.03582089552239,0.72,0.72,0.97,18,23,https://fonts.google.com/specimen/Public+Sans,2018,,,,,"10,263,411,936",36,,,,,5,,,14,10,10,15,15,10,129,National Museum Of American History;Sinebrychoff Art Museum;Evidation
112,Questa,Questa,Serif,Transitional,Times,Questa,Adobe,Jos Buivenga;Martin Majoor,300;300i;400;400i;500;500i;700;700i;900;900i,21.54,31.76,1.47,1.51,1.45,1.5,0.948059701492537,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/questa,2010,rfe1kqe,,,41,,,,,61,5,5,,,71,9,8,,,,143,
113,Questa Grande,Questa Grande,Serif,Modern,Bodoni,Questa,Adobe,Jos Buivenga;Martin Majoor,300;300i;400;400i;500;500i;700;700i;900;900i,21.54,31.76,1.47,1.51,1.45,1.5,0.948059701492537,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/questa-grande,2010,kue4zna,,,41,,,,,61,15,5,,,81,9,4,,,,117,
114,Questa Sans,Questa Sans,Sans,Grotesque,Blake,Questa,Adobe,Jos Buivenga;Martin Majoor,300;300i;400;400i;500;500i;700;700i;900;900i,21.54,31.76,1.47,1.51,1.45,1.5,0.948059701492537,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/questa-sans,2010,rwa8zuu,,,41,,,,,61,15,5,,,81,9,10,,,,171,
115,Questa Slab,Questa Slab,Serif,Slab,Slab,Questa,Adobe,Jos Buivenga;Martin Majoor,300;300i;400;400i;500;500i;700;700i;900;900i,21.54,31.76,1.47,1.51,1.45,1.5,0.948059701492537,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/questa-slab,2010,wvx6ogz,,,41,,,,,61,5,5,,,71,9,8,,,,143,
116,Radio Canada,Radio Canada,Sans,Humanist,Frutiger,,Google,Charles Daoud;Coppers and Brasses;Alexandre Saumier Demers;Jacques Le Bailly,300;300i;400;400i;500;500i;600;600i;700;700i,24.72,33.12,1.34,1.45,1.35,1.45,0.98865671641791,0.74,0.70,1.00,18,24,https://fonts.google.com/specimen/Radio+Canada,2017,,,,,"821,998,791",6,,,,,,,,1.5,9,9,15,5,5,97.5,Radio Canada
117,Raleway,Raleway,Sans,Geometric,Proxima,,Google,Matt McInerney;Pablo Impallari;Rodrigo Fuenzalida,100..900;100..900i,25.01,34.08,1.36,1.41,1.35,1.4,1.01731343283582,0.74,0.72,0.97,18,23,https://fonts.google.com/specimen/Raleway,2010,,,39,,"115,784,582,865",67,,62,,,5,,,83.75,1,4,,10,9,87.75,
118,Roboto,Roboto,Sans,Grotesque,NeoGrotesque,Roboto,Google,Christian Robertson,100;100i;300;300i;400;400i;500;500i;700;700i;900;900i,25.36,34.13,1.35,1.41,1.35,1.4,1.01880597014925,0.74,0.72,0.97,18,23,https://fonts.google.com/specimen/Roboto,2011,,,15,,"3,416,100,879,150",74,,86,,15,15,15,,149.5,6,8,-15,15,6,182.5,United Nations;Technische Universität München;Max Planck Institute;London School of Economics;Louvre
119,Roboto Mono,Roboto Mono,Mono,GrotesqueMono,Mono,Roboto,Google,Christian Robertson,100..700;100..700i,25.36,34.13,1.35,1.41,1.35,1.4,1.01880597014925,0.74,0.72,0.97,18,23,https://fonts.google.com/specimen/Roboto+Mono,2011,,,,,"148,125,665,090",68,,,,15,5,15,,52,6,2,,5,10,64,Vox
120,Roboto Serif,Roboto Serif,Serif,Contemporary,MetaSerif,Roboto,Google,Commercial Type;Greg Gazdowicz,100..900;100..900i,25.78,34.08,1.32,1.41,1.3,1.4,1.01731343283582,0.76,0.72,0.97,18,23,https://fonts.google.com/specimen/Roboto+Serif,2011,,,41,,"2,445,495,676",18,,60,15,,5,15,,99.5,4,6,,5,10,123.5,Cleveland Museum of Art
121,Roboto Slab,Roboto Slab,Serif,Slab,Slab,Roboto,Google,Christian Robertson,100..900;100..900i,25.36,34.13,1.35,1.41,1.35,1.4,1.01880597014925,0.74,0.72,0.97,18,23,https://fonts.google.com/specimen/Roboto+Slab,2011,,,,,"66,093,288,374",62,,,,,5,15,,35.5,8,10,20,5,10,135.5,Narratively
122,Roc Grotesk,Roc Grotesk,Sans,Grotesque,Blake,,Adobe,Nikola Kostić;Zoran Kostić;Kostic Type Foundry,400;100;200;300;500;600;700;800;900,23.71,31.58,1.33,1.52,1.35,1.5,0.942686567164179,0.76,0.66,1.06,19,25,https://fonts.adobe.com/fonts/roc-grotesk,2012,qlm6yyj,,,16,,,,,86,,5,,,91,9,6,,,4,145,
123,Rubik,Rubik,Sans,Geometric,DIN,,Google,Hubert and Fischer;Meir Sadan;Cyreal;Daniel Grumer;Omaima Dajani,300..900;300..900i,24.96,33.6,1.35,1.43,1.35,1.45,1.00298507462687,0.74,0.70,1.00,18,24,https://fonts.google.com/specimen/Rubik,2015,,,36,,"77,026,536,425",65,,65,,15,5,,,101.25,6,6,,15,10,137.25,Fandom;Tide;Electro Harmonix
124,Rustica,Rustica,Sans,Humanist,Johnston,,Adobe,TipoType,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,24.24,33.84,1.4,1.42,1.4,1.4,1.01014925373134,0.72,0.70,1.00,18,24,https://fonts.adobe.com/fonts/rustica,2021,ofu8umn,,,,,,,,,,5,,,5,10,10,5,5,9,110,Brighton Museums
125,Schoolbook,Schoolbook,Serif,Modern,Century,,Adobe,Elena Tzaregorodtseva;Manvel Shmavonyan;Paratype,400;400i;700;700i;,21.89,32.64,1.49,1.47,1.5,1.45,0.974328358208955,0.68,0.68,1.03,19,25,https://fonts.adobe.com/fonts/schoolbook,1949,wlu1kif,,,,,,,,,,5,15,,20,10,8,,,2,100,
126,Sofia Pro,Sofia Pro,Sans,Geometric,Neuzeit,,Adobe,Olivier Gourvat;Mostardesign,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,22.42,33.07,1.48,1.45,1.5,1.45,0.987164179104478,0.68,0.68,1.03,19,25,https://fonts.adobe.com/fonts/sofia,2008,rnn3pdy,,,15,,,,,87,,5,,,92,10,8,,15,8,172,Mast;Hims;Hers
127,Soleil,Soleil,Sans,Geometric,Proxima,,Adobe,Wolfgang Homola;TypeTogether,300;300i;400;400i;500;500i;600;600i;700;700i;800;800i,24,33.6,1.4,1.43,1.4,1.45,1.00298507462687,0.72,0.70,1.00,18,24,https://fonts.adobe.com/fonts/soleil,2011,dve1mkc,,,26,,,,,76,,5,,,81,9,8,,,6,153,
128,Source Code Pro,Source Code Pro,Mono,HumanistMono,Mono,Source,Google,Santiago Orozco,200..900;200..900i,23.33,31.5,1.35,1.52,1.35,1.5,0.940298507462687,0.74,0.66,1.06,19,25,https://fonts.google.com/specimen/Source+Code+Pro,2012,,,,,"15,500,573,032",44,,,,,5,15,,31,8,2,,5,10,47,Make Noise
129,Source Sans 3,Source Sans,Sans,Humanist,Frutiger,Source,Google,Paul D. Hunt,200..900;200..900i,23.33,31.5,1.35,1.52,1.35,1.5,0.940298507462687,0.74,0.66,1.06,19,25,https://fonts.google.com/specimen/Source+Sans+3,2012,,,13,,"15,953,974,794",46,,88,,15,5,15,,134.5,10,10,,15,10,234.5,Unbounce;Royal College of Art;Saatva
130,Source Serif 4,Source Serif,Serif,Transitional,Times,Source,Google,Frank Grießhammer,200..900;200..900i,23.62,32.16,1.36,1.49,1.35,1.5,0.96,0.74,0.68,1.03,19,25,https://fonts.google.com/specimen/Source+Serif+4,2012,,,14,,"4,868,517,904",28,,87,,15,5,15,,129,6,6,,15,10,165,Greenpeace (EU);Room To Read;Saatva;Evidation;Epicurious;Medium;
131,Spectral,Spectral,Serif,Old Style,Garamond,,Google,Production Type,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i,21.6,31.68,1.47,1.52,1.45,1.5,0.945671641791045,0.68,0.66,1.06,19,25,https://fonts.google.com/specimen/Spectral,2017,,,26,,"3,500,459,410",24,,75,,,5,,,86,6,6,,15,,122,
132,Tablet Gothic,Tablet Gothic,Sans,Grotesque,Franklin,,Adobe,José Scaglione;Veronika Burian,200;200i;300;300i;400;400i;600;600i;700;700i;800;800i;900;900i,24.58,35.23,1.43,1.36,1.45,1.35,1.05164179104478,0.70,0.74,0.95,17,23,https://fonts.adobe.com/fonts/tablet-gothic,2012,vap4yal,,,32,,,,,70,,5,,,75,9,10,,,,165,
133,Trade Gothic Next,Trade Gothic Next,Sans,Grotesque,Franklin,,Adobe,Jackson Burke;Akira Kobayashi;Tom Grace,300;300i;400;400i;700;700i;800;800i,24.86,34.46,1.39,1.39,1.4,1.4,1.02865671641791,0.72,0.72,0.97,18,23,https://fonts.adobe.com/fonts/trade-gothic-next,1948,opm5muz,58,,,,,43,,,15,15,15,,88,10,8,10,15,4,178,Amnesty;Booth School of Business;Gibson
134,Utopia Std,Utopia,Serif,Transitional,Times,,Adobe,Robert Slimbach;Adobe Originals,400;400i;600;600i;700;700i,22.13,31.34,1.42,1.53,1.4,1.55,0.935522388059701,0.70,0.66,1.06,19,25,https://fonts.adobe.com/fonts/utopia,1989,omu3uvv,,,,,,,,,,5,,,5,10,8,10,5,3,95,Warby Parker
135,Vollkorn,Vollkorn,Serif,Old Style,Garamond,,Google,Friedrich Althausen,400;400i;500;500i;700;700i;800;800i;900;900i,22.08,32.59,1.48,1.47,1.5,1.45,0.972835820895522,0.68,0.68,1.03,19,25,https://fonts.google.com/specimen/Vollkorn,2005,,,,,"4,366,251,227",27,,,,,5,,,11.75,4,4,,,,27.75,
136,Work Sans,Work Sans,Sans,Grotesque,Blake,,Google,Wei Huang,100..900;100..900i,24,31.68,1.32,1.52,1.3,1.5,0.945671641791045,0.76,0.66,1.06,19,25,https://fonts.google.com/specimen/Work+Sans,2015,,,5,,"46,566,012,924",60,,96,,15,15,,,141,9,10,,15,10,231,The Body Shop;Pure Electric;Conde Nast Traveller
137,Zilla Slab,Zilla Slab,Serif,Slab,Slab,,Google,Typotheque,300;300i;400;400i;500;500i;600;600i;700;700i,21.36,31.2,1.46,1.54,1.45,1.55,0.93134328358209,0.68,0.66,1.06,19,25,https://fonts.google.com/specimen/Zilla+Slab,2017,,,41,,"7,928,340,012",32,,60,15,,5,,,88,8,7,,5,5,144,Mozilla
