id,name,label,shortlabel,superclass,classification,subclass,family,distribution,designer,rg,xHeight,capHeight,xHeightRatio,capHeightRatio,xHeightRatioRounded,capHeightRatioRounded,adjust,xHeightPct,capHeightPct,0.70,18,24,link,Year,stylesheet,100 Greatest Fonts,Typewolf Google,Typewolf Adobe,Google Analytics,Google Analytics Score,100 Greatest Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,FontsInUse,Adjust,Score,Quality,Utility,Underrated Boost,In Use Boost,Weight Boost,Rating,inuse
92,Noticia Text,Noticia Text,Noticia,Serif,Contemporary,MetaSerif,,Google,JM Solé,400;400i;700;700i,25.43,31.71,1.25,1.51,1.25,1.5,0.946567164179104,0.80,0.66,1.06,19,25,https://fonts.google.com/specimen/Noticia+Text,2011,,,,,"2,810,541,844",22,,,,15,5,,25.5,6,6,,,,61.5,
93,Nunito Sans,Nunito Sans,Nunito Sans,Sans,Geometric,Proxima,,Google,Vernon Adams;Jacques Le Bailly;Manvel Shmavonyan;Alexei Vanyashin,200..1000;200..1000i,23.34,33.84,1.45,1.42,1.45,1.4,1.01014925373134,0.68,0.70,1.00,18,24,https://fonts.google.com/specimen/Nunito+Sans,2011,,,,,"82,463,878,515",66,,,15,,5,,36.5,6,6,,10,10,72.5,Mozilla;Museo Thyssen
94,Obviously,Obviously,Obviously,Sans,Grotesque,Blake,,Adobe,James Edmondson;OH no Type Co.,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,28.85,36,1.25,1.33,1.25,1.35,1.07462686567164,0.80,0.76,0.92,17,22,https://fonts.adobe.com/fonts/obviously-variable,2018,kfm1ruq,,,,,,,,102,,15,,117,8,4,,,1,149,
95,Old Standard TT,Old Standard TT,Old Standard TT,Serif,Modern,Century,,Google,Alexey Kryukov,400;400i;700,21.89,34.18,1.56,1.4,1.55,1.4,1.02029850746269,0.64,0.72,0.97,18,23,https://fonts.google.com/specimen/Old+Standard+TT,2009,,,,,"2,555,360,496",21,,,,,5,,10.25,8,6,10,,1,68.25,
96,Open Sans,Open Sans,Open Sans,Sans,Humanist,Frutiger,,Google,Steve Matteson,300..800;300..800i,25.69,34.27,1.33,1.4,1.35,1.4,1.02298507462687,0.74,0.72,0.97,18,23,https://fonts.google.com/specimen/Open+Sans,2010,,,37,,"1,429,242,327,289",73,,64,,-15,15,,82.25,4,8,,15,10,114.25,
97,OrpheusPro,Orpheus Pro,Orpheus,Serif,Contemporary,Glyphic,,Adobe,Walter Tiemann;Kevin Allan King;Patrick Griffin,400;400i;700;700i,22.85,34.9,1.53,1.38,1.55,1.4,1.04179104477612,0.66,0.72,0.97,18,23,https://fonts.adobe.com/fonts/orpheus,1928,sug0jcn,,,4,,,,,98,,5,,103,9,6,,,,157,
98,Outfit,Outfit,Outfit,Sans,Geometric,Neuzeit,,Google,Smartsheet Inc;Rodrigo Fuenzalida,100..900,22.8,33.31,1.46,1.44,1.45,1.45,0.994328358208955,0.68,0.70,1.00,18,24,https://fonts.google.com/specimen/Outfit,2021,,,,,"15,096,414,714",43,,15,15,,5,,45.75,9,8,10,5,10,127.75,Mashable
99,Overpass,Overpass,Overpass,Sans,Geometric,DIN,Overpass,Google,Delve Withrington;Dave Bailey;Thomas Jockin,100..900;100..900i,24.53,33.6,1.37,1.43,1.35,1.45,1.00298507462687,0.74,0.70,1.00,18,24,https://fonts.google.com/specimen/Overpass,2014,,,,,"9,583,416,274",35,,15,15,,5,,43.75,8,8,,5,10,107.75,International Labor Organization
100,Plantin,Plantin,Plantin,Serif,Old Style,Garamond,,Adobe,Robert Granjon;Frank Hinman Pierpont;Fritz Stelzer,300;300i;400;400i;600;600i;700;700i,21.6,32.74,1.52,1.47,1.5,1.45,0.977313432835821,0.66,0.68,1.03,19,25,https://fonts.adobe.com/fonts/plantin,1913,qjl8rgl,,,2,,,,,100,,15,-15,100,10,10,,,,200,
101,Playfair,Playfair,Playfair,Serif,Modern,Bodoni,,Google,Claus Eggers Sørensen,300..900;300..900i,19.95,27.41,1.37,1.75,1.35,1.75,0.818208955223881,0.72,0.58,1.21,22,29,https://fonts.google.com/specimen/Playfair,2011,,,22,,"75,081,991,940",64,,79,,15,5,,115,6,6,,,9,151,
