id,name,label,shortlabel,superclass,classification,subclass,family,distribution,designer,rg,xHeight,capHeight,xHeightRatio,capHeightRatio,xHeightRatioRounded,capHeightRatioRounded,adjust,xHeightPct,capHeightPct,0.70,18,24,link,Year,stylesheet,100 Greatest Fonts,Typewolf Google,Typewolf Adobe,Google Analytics,Google Analytics Score,100 Greatest Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,FontsInUse,Adjust,Score,Quality,Utility,Underrated Boost,In Use Boost,Weight Boost,Rating,inuse
140,Joanna Nova,Joanna Nova,Joanna,Serif,Transitional,Times,,Adobe,Eric Gill,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,22.03,31.92,1.45,1.5,1.45,1.5,0.952835820895522,0.70,0.66,1.06,19,25,https://fonts.adobe.com/fonts/joanna-nova,1930,fnq2vqr,36,,,,,65,,,,5,,70,,,,,,70,
141,Antique Olive,Antique Olive,Antique Olive,Sans,Humanist,Johnston,,Adobe,Roger Excoffon,300;400;400i;500;700,25.68,32.02,1.25,1.5,1.25,1.5,0.955820895522388,0.80,0.66,1.06,19,25,https://fonts.adobe.com/fonts/antique-olive,1962,jhd6tfs,51,,17,,,50,,85,,15,-50,100,,,,,,100,
142,Proforma,Proforma,Proforma,Serif,Old Style,Garamond,,Adobe,Petr van Blokland,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;,21.46,31.39,1.46,1.53,1.45,1.55,0.937014925373134,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/proforma,1988,jmx3ggo,55,,,,,46,,,,5,,51,,,,,,51,
143,News Gothic Std,News Gothic Std,News Gothic,Sans,Grotesque,Franklin,,Adobe,Morris Fuller Benton,400;400i;700;700i,24.38,33.82,1.39,1.42,1.4,1.4,1.00955223880597,0.72,0.70,1.00,18,24,https://fonts.adobe.com/fonts/news-gothic,1908,gql1gbi,64,,,,,37,,,,15,,52,,,,,,52,
144,Nobel,Nobel,Nobel,Sans,Geometric,Kabel,,Adobe,Sjoerd de Roos;Dick Dooijes;Tobias Frere-Jones,100;100i;200;200i;300;300i;400;400i;700;700i;800;800i,19.97,35.04,1.75,1.37,1.75,1.35,1.04597014925373,0.56,0.74,0.95,17,23,https://fonts.adobe.com/fonts/nobel,1929,jot3vbd,71,,,,,30,,,,5,,35,,,,,,35,
145,Mrs Eaves,Mrs Eaves,Mrs Eaves,Serif,Transitional,Baskerville,,Adobe,Zuzana Licko,400;400i;700;700i,15.98,28.8,1.8,1.67,1.8,1.65,0.859701492537313,0.56,0.60,1.17,21,28,https://fonts.adobe.com/fonts/mrs-eaves,1996,oes5gec,82,,14,,,19,,88,,5,,112,,,,,,112,
146,Clarendon Text Pro,Clarendon Text Pro,Clarendon,Serif,Slab,Clarendon,,Adobe,Benjamin Fox;Patrick Griffin,400;400i;700;700i,24.72,33.26,1.35,1.44,1.35,1.45,0.992835820895522,0.74,0.70,1.00,18,24,https://fonts.adobe.com/fonts/clarendon-urw,1845,uuo2kas,87,,,,,14,,,,15,,29,,,,,,29,
147,Rockwell Nova,Rockwell Nova,Rockwell,Serif,Slab,Rockwell,,Adobe,Frank H. Pierpont,200;200i;400;400i;700;700i;800;800i,24.63,35.32,1.43,1.36,1.45,1.35,1.05432835820896,0.70,0.74,0.95,17,23,https://fonts.adobe.com/fonts/rockwell-nova,1934,rgv1zwp,16,,,,,85,,,,5,,90,,,,,,90,
148,ITC American Typewriter,ITC American Typewriter,American Typewriter,Mono,SerifMono,Mono,,Adobe,Joel Kaden; Tony Stan;Hector Haralambous,300;300i;500;500i;700;700i,24.43,32.93,1.35,1.46,1.35,1.45,0.982985074626866,0.74,0.68,1.03,19,25,https://fonts.adobe.com/fonts/itc-american-typewriter,1974,eht3xvw,,,20,,,,,82,,15,,97,,,,,,97,
149,Bookmania,Bookmania,Bookmania,Serif,Transitional,Bookman,,Adobe,Mark Simonson,300;300i;400;400i;600;600i;700;700i;900;900i,21.65,33.6,1.55,1.43,1.55,1.45,1.00298507462687,0.64,0.70,1.00,18,24,https://fonts.adobe.com/fonts/bookmania,1896,otz3qux,,,,,,,,,,15,,15,,,,,,15,
150,Monotype Grotesque,Monotype Grotesque,Monotype Grotesque,Sans,Grotesque,Blake,,Adobe,Frank Hinman Pierpont,300;300i;400;400i;700;900,23.71,34.61,1.46,1.39,1.45,1.4,1.03313432835821,0.68,0.72,0.97,18,23,https://fonts.adobe.com/fonts/monotype-grotesque,1926,aka1rsb,,,,,,,,,,15,,15,,,,,,15,
151,Classico URW,Classico URW (Optima),Classico,Sans,Humanist,Optima,,Adobe,Hermann Zapf,400;400i;500;500i;700;700i;900,22.22,32.21,1.45,1.49,1.45,1.5,0.961492537313433,0.68,0.68,1.03,19,25,https://fonts.adobe.com/fonts/classico-urw,1954,nvf6xhe,11,,,,,90,,,,15,,105,,,,,,105,
152,Nimbus Sans,Nimbus Sans,Nimbus Sans,Sans,Grotesque,NeoGrotesque,,Adobe,Eduard Hoffmann;Max Miedinger,300;300i;400;400i;700;700i;900;900i,23.18,32.02,1.38,1.5,1.4,1.5,0.955820895522388,0.72,0.66,1.06,19,25,https://fonts.adobe.com/fonts/nimbus-sans,1996,ico6tyn,,,,,,,,,15,5,,20,,,,,,20,
153,Century Old Style Std,Century Old Style Std,Century Old Style,Serif,Modern,Century,,Adobe,Morris Fuller Benton,400;400i;700,23.47,35.14,1.5,1.37,1.5,1.35,1.0489552238806,0.66,0.74,0.95,17,23,https://fonts.adobe.com/fonts/century-old-style,1894,vhs4iod,,,,,,,,,,15,,15,,,,,,15,
154,Joanna Sans Nova,Joanna Sans Nova,Joanna Sans,Sans,Humanist,Johnston,,Adobe,Eric Gill;Terrance Weinzierl,100;100i;200;200i;300;300i;400;400i;500;500i;700;700i;800;800i;900;900i,22.85,33.22,1.45,1.44,1.45,1.45,0.991641791044776,0.68,0.70,1.00,18,24,https://fonts.adobe.com/fonts/joanna-sans-nova,2015,wvk8kxs,,,,,,,,,,5,5,10,,,,,,10,
155,Letter Gothic Std,Letter Gothic Std,Letter Gothic,Mono,GrotesqueMono,Mono,,Adobe,Roger Roberson,400;400i;700;700i,25.39,34.56,1.36,1.39,1.35,1.4,1.03164179104478,0.74,0.72,0.97,18,23,https://fonts.adobe.com/fonts/letter-gothic,1956,kny0hvt,27,,,,,74,,,,15,,89,,,,,,89,
156,Miller Text,Miller Text,Miller,Serif,Transitional,Scotch,,Adobe,Carter & Cone,400;400i;700;700i,22.18,32.78,1.48,1.46,1.5,1.45,0.978507462686567,0.68,0.68,1.03,19,25,https://fonts.adobe.com/fonts/miller-text,1997,wta1jko,84,,,,,17,,,,5,,22,,,,,,22,
157,Libertad,Libertad,Libertad,Sans,Humanist,Frutiger,,Adobe,Fernando Diaz;TipoType,100;100i;200;200i;300;300i;400;400i;500;500i;700;700i;800;800i,24,31.17,1.3,1.54,1.3,1.55,0.93044776119403,0.76,0.64,1.09,20,26,https://fonts.adobe.com/fonts/libertad,2014,btq2chk,,,,,,,,,,5,5,10,,,,,,10,
158,Mundial,Mundial,Mundial,Sans,Geometric,Proxima,,Adobe,TipoType,100;100i;200;200i;300;300i;400;400i;600;600i;700;700i;900;900i,22.5,31.83,1.41,1.51,1.4,1.5,0.950149253731343,0.70,0.66,1.06,19,25,https://fonts.adobe.com/fonts/mundial,2020,dnh2ifc,,,,,,,,,,5,5,10,,,,,,10,
159,Brother 1816,Brother 1816,Brother 1816,Sans,Grotesque,Blake,,Adobe,Fernando Díaz;Ignacio Corbo;TipoType,100;100i;200;200i;300;300i;400;400i;500;500i;700;700i;800;800i;900;900i,24,34.56,1.44,1.39,1.45,1.4,1.03164179104478,0.70,0.72,0.97,18,23,https://fonts.adobe.com/fonts/brother-1816,2016,fff6dus,,,,,,,,,,5,5,10,,,,,,10,
160,Richmond Text,Richmond Text,Richmond,Serif,Transitional,Times,,Adobe,Carter & Cone,400;400i;500;500i;600;600i;700;700i;900;900i,24.67,33.89,1.37,1.42,1.35,1.4,1.01164179104478,0.72,0.70,1.00,18,24,https://fonts.adobe.com/fonts/richmond-text,2024,eep8tnp,,,,,,,,,,0,15,15,,,,,,15,
